campaign_id,date,channel,region,device_type,audience_segment,campaign_objective,impressions,clicks,ctr_pct,spend_usd,conversions,conversion_rate_pct,bounce_rate_pct,session_duration_sec,audience_age,ad_quality_score,revenue_usd
C00063,28-07-2025,Search,South,Tablet,Gen X,Traffic,117407,5427,4.62,10352.83,339,6.25,61.47,307,39,7.16,14384.09
C00064,03-01-2024,Video,Central,Tablet,Gen Z,App Installs,175149,6333,3.62,5271.74,560,8.84,46.18,177,33,7.5,57422.68
C00065,13-08-2024,Display,North,Desktop,Gen X,Awareness,129706,1696,1.31,820.34,46,2.71,5,107,18,8.81,4701.77
C00066,15-10-2024,Search,Central,Desktop,Gen X,Leads,136000,7053,5.19,14536.83,630,8.93,64.86,220,23,9.3,43469.41
C00067,10-07-2025,Email,South,Tablet,Millennials,Leads,62640,2974,4.75,1734.28,166,5.58,54.87,162,32,4.96,17400.6
C00068,05-11-2025,Email,West,Tablet,Gen Z,Awareness,52963,1425,2.69,578.88,130,9.12,41.44,126,53,7.74,12462.73
C00069,04-02-2025,Affiliate,West,Tablet,Gen Z,Awareness,115090,1619,1.41,1305.9,54,3.34,62.98,224,18,4.45,3672.27
C00070,05-06-2024,Display,South,Tablet,Millennials,Sales,213363,1948,0.91,1847.52,38,1.95,75.24,93,32,5.24,4383.09
C00071,11-06-2024,Email,West,Mobile,Gen Z,Awareness,55870,2536,4.54,1148.35,175,6.9,62.62,203,34,7.69,17249.56
C00072,23-11-2025,Affiliate,South,Mobile,Gen X,App Installs,85797,598,0.7,673.54,15,2.51,37.07,213,36,4.42,1373.91
C00073,21-12-2025,Email,South,CTV,Millennials,Awareness,16370,301,1.84,153.49,19,6.31,51.95,90,29,9.26,1965.46
C00074,02-01-2024,Display,East,Mobile,Gen X,Traffic,220925,2686,1.22,1432.57,,2.12,47.89,172,34,8.32,7405.2
C00075,06-07-2025,Affiliate,South,Mobile,Gen X,App Installs,100230,2235,2.23,2759.39,152,6.8,83.13,118,40,9.6,13476.64
C00076,27-10-2024,Video,Central,Desktop,Millennials,Traffic,129908,4684,3.61,6880.73,433,9.24,22.04,109,29,6.98,21835.76
C00077,25-07-2024,Social,West,Mobile,Millennials,Leads,63291,1831,2.89,1663.66,40,2.18,55.37,222,31,9.53,3264.72
C00078,21-02-2025,Video,South,Tablet,Millennials,Awareness,226990,8979,3.96,8578.7,277,3.08,41.24,259,33,4.69,14383.12
C00079,02-01-2024,Video,North,CTV,Millennials,Traffic,186882,3162,1.69,4619.14,14,0.44,34.67,179,36,7.56,1401.79
C00080,24-03-2025,Video,East,Tablet,Millennials,Traffic,178953,5534,3.09,,131,2.37,44.59,66,22,6.36,16305.05
C00081,29-07-2025,Search,South,CTV,Gen X,Leads,92185,2948,3.2,8037.6,204,6.92,54.61,225,22,6.23,17194.44
C00082,29-04-2025,Search,East,Tablet,Boomers,App Installs,125250,6608,5.28,11836.83,415,6.28,68.29,33,39,10,26358
C00083,18-01-2025,Display,North,Mobile,Gen X,Traffic,184823,1771,0.96,881.79,58,3.27,51.23,171,34,7.28,5051.21
C00084,10-12-2024,Email,East,Mobile,Gen Z,App Installs,79899,4100,5.13,1061.13,240,5.85,40.69,156,36,7.49,22454.72
C00085,11-08-2025,Video,East,Tablet,Boomers,App Installs,185298,7286,3.93,10318.79,545,7.48,29.96,106,28,4.99,62591.86
C00086,22-05-2024,Email,North,CTV,Millennials,Leads,44067,2180,4.95,809.74,65,2.98,-22.9,225,48,9.3,1665.32
C00087,23-11-2024,Search,West,Mobile,Millennials,Leads,187273,7300,3.9,17284.04,486,6.66,60.92,211,18,8.14,44757.74
C00088,19-11-2024,Video,North,Tablet,Gen X,Awareness,191499,5875,3.07,7149.59,175,2.98,42.74,45,33,7.6,21732.94
C00089,11-08-2025,Affiliate,East,Tablet,Boomers,Leads,84159,1568,1.86,1510.91,19,1.21,28.11,186,25,6.97,1944.61
C00090,10-01-2025,Video,East,Desktop,Millennials,Sales,154920,4602,2.97,7450.31,489,10.63,35.78,170,46,7.4,21894.89
C00091,02-08-2025,Affiliate,West,Desktop,Gen X,Sales,75428,2063,2.74,1749.55,145,7.03,59.87,115,41,6.47,14336.45
C00092,08-06-2024,Email,North,Tablet,Gen X,Traffic,36124,1532,4.24,906.58,70,4.57,65.84,47,48,4.04,7618.61
C00093,02-08-2025,Video,Central,Tablet,Boomers,Sales,273277,6268,2.29,7176.44,215,3.43,52.51,113,39,7.35,10011.32
C00094,15-01-2025,Video,South,CTV,Millennials,Awareness,138923,3137,2.26,3783.34,111,3.54,54.42,166,41,7.57,7715.97
C00095,09-09-2025,Display,Central,Tablet,Gen Z,Traffic,143843,1243,0.86,1294.2,8,0.64,70.2,168,32,10,816.28
C00096,09-06-2024,Affiliate,East,Desktop,Millennials,Traffic,94041,2866,3.05,1879.01,2,0.07,41.22,238,31,7.06,150.78
C00097,10-04-2025,Search,North,Desktop,Boomers,App Installs,130781,6727,5.14,11598.76,357,5.31,60.53,195,41,6.24,27879.16
C00098,09-05-2024,Search,West,CTV,Millennials,Sales,147806,7542,5.1,23101,150,1.99,65.98,112,30,7.53,15298.96
C00099,19-03-2024,Video,West,Desktop,Millennials,Awareness,223836,5256,2.35,7943.82,197,3.75,33.85,195,34,9.3,22683.37
C00100,03-10-2025,Search,West,Desktop,Millennials,App Installs,170987,7616,4.45,16481.6,273,3.58,43.59,216,47,9.28,14695.26
C00101,10-04-2024,Video,North,Desktop,Gen Z,Sales,241059,7612,3.16,8992.42,587,7.71,44.39,89,20,8.81,45511.75
C00102,24-05-2025,Social,West,Tablet,Boomers,App Installs,87521,2080,2.38,2351.53,144,6.92,34.1,216,40,6.26,8093.87
C00103,21-06-2024,Affiliate,Central,CTV,Boomers,Traffic,1715,2821,164.49,778.56,23,0.82,68.37,191,32,8.52,2287.98
C00104,16-09-2025,Affiliate,West,CTV,Gen X,Traffic,119700,1328,1.11,1220.48,47,3.54,70.22,176,32,8.2,3292.94
C00105,21-06-2024,Affiliate,East,CTV,Millennials,Leads,72379,2203,3.04,1527.21,21,0.95,70.01,120,38,5.43,2422.45
C00106,15-11-2024,Video,North,Tablet,Millennials,Leads,164091,4180,2.55,6239.94,319,7.63,50.24,158,40,,24860.4
C00107,06-11-2025,Display,East,Mobile,Millennials,Traffic,251970,3358,1.33,1899.05,118,3.51,43.08,83,47,4.39,4457.58
C00108,17-02-2025,Social,West,Desktop,Millennials,Awareness,104632,2938,2.81,3612.13,86,2.93,27.11,85,35,7.91,4599.09
C00109,21-07-2024,Video,West,Tablet,Boomers,Sales,164027,5082,3.1,6663.9,79,1.55,51.8,192,44,6.36,5301.64
C00110,18-12-2024,Search,South,CTV,Boomers,App Installs,82520,4079,4.94,8360.06,429,10.52,59.17,144,29,6.97,45072.16
C00111,24-03-2025,Affiliate,North,CTV,Boomers,Awareness,73858,1352,1.83,1823.41,71,5.25,37.19,249,26,9.46,10763.81
C00112,12-01-2024,Display,East,CTV,Boomers,App Installs,148604,1559,1.05,1523.33,16,1.03,46.41,263,36,6.4,1729.65
C00113,13-04-2025,Affiliate,Central,Desktop,Boomers,Traffic,59299,1425,2.4,2003.5,39,2.74,48.34,166,30,10,2892.71
C00114,14-11-2024,Display,West,CTV,Gen Z,Sales,224636,489,0.22,,20,4.09,38.71,109,34,6.8,1530.39
C00115,29-10-2024,Display,West,Desktop,Boomers,Traffic,254163,,1.24,2676.08,52,1.66,80.27,252,24,6.27,3006.76
C00116,16-07-2025,Email,Central,Mobile,Boomers,App Installs,78593,2552,3.25,890.97,232,9.09,51.23,172,18,6.43,3018.29
C00117,08-11-2024,Email,North,Mobile,Boomers,Traffic,53770,2310,4.3,653.46,195,8.44,51,174,29,8.74,15193.08
C00118,15-08-2024,Video,South,Mobile,Gen X,Sales,90909,3200,3.52,3939.89,223,6.97,44.06,207,29,5.12,20184.61
C00119,05-01-2025,Display,South,CTV,Gen X,Leads,193916,1180,0.61,765.06,35,2.97,67.26,319,34,6.56,3222.12
C00120,08-05-2025,Video,East,CTV,Gen X,Awareness,151753,0,0,30.96,0,0,82.86,161,50,5.91,412.46
C00121,04-12-2025,Video,North,Mobile,Gen X,Traffic,265581,9372,3.53,19206.82,491,5.24,44.54,118,33,7.13,49686.23
C00122,06-03-2024,Affiliate,North,Mobile,Gen Z,Traffic,88412,1028,1.16,1303.73,36,3.5,59.58,238,48,6.15,1472.5
C00123,20-04-2025,Social,North,Desktop,Millennials,Traffic,120554,3914,3.25,1539.75,6,0.15,28.51,237,26,10,509.19
C00124,18-11-2025,Video,North,Desktop,Boomers,Leads,191021,3644,1.91,5952.83,164,4.5,52.09,175,31,6.93,19079.51
C00125,16-09-2024,Display,South,Mobile,Millennials,Leads,-41144,1045,-2.54,674.5,33,3.16,56.29,134,26,5.01,3919.65
C00126,10-08-2025,Search,Central,Mobile,Gen X,App Installs,105017,4460,4.25,,296,6.64,38.16,256,28,6.52,34623.37
C00127,23-10-2025,Affiliate,West,CTV,Millennials,Awareness,106085,1462,1.38,1029.35,75,5.13,48.64,124,41,6.5,7008.06
C00128,08-11-2024,Email,South,Mobile,Gen X,App Installs,78516,1420,1.81,748.89,141,9.93,61.76,102,32,7.23,5292.21
C00129,03-09-2025,Search,Central,Mobile,Gen X,App Installs,122409,7472,6.1,11988.34,363,4.86,60.11,213,25,8.5,49691.74
C00130,01-02-2025,Video,East,Mobile,Gen X,Awareness,182883,4739,2.59,7087.4,174,3.67,43.71,199,54,9.29,13474.92
C00131,20-08-2025,Video,West,Mobile,Boomers,Leads,192403,5586,2.9,6586.83,472,8.45,54.84,220,33,2.95,47922.71
C00132,12-07-2025,Affiliate,West,Desktop,Boomers,Traffic,79897,1001,1.25,852.32,43,4.3,69.99,111,18,7.58,4234.6
C00133,01-08-2025,Affiliate,Central,Tablet,Boomers,Sales,93726,13,0.01,3981.69,574,4415.38,45.41,27,37,6.67,3465.97
C00134,19-11-2025,Video,Central,Tablet,Gen X,Traffic,190777,5535,2.9,7232.71,657,11.87,49.29,113,22,6.71,41369.43
C00135,24-07-2025,Search,East,CTV,Millennials,Sales,130532,8352,6.4,10752.22,209,2.5,56.01,190,43,4.63,22296.66
C00136,06-03-2025,Email,Central,CTV,Gen X,Awareness,62607,1663,2.66,603.02,21,1.26,47.4,251,35,6.26,2003.27
C00137,14-04-2024,Video,East,Desktop,Boomers,Traffic,213739,5944,2.78,8652.55,652,10.97,71.23,167,41,7.48,86154.46
C00138,22-12-2024,Display,East,Tablet,Gen X,App Installs,186394,1554,0.83,806.27,58,3.73,78.63,88,33,8.38,6179.66
C00139,06-07-2024,Affiliate,East,Mobile,Millennials,Awareness,55456,1752,3.16,1374.97,25,1.43,60.65,16,28,5.1,2031.4
C00140,11-07-2024,Social,West,CTV,Millennials,Sales,96601,2597,2.69,3694.39,111,4.27,53.67,250,35,10,9638.02
C00141,10-07-2025,Affiliate,West,CTV,Gen Z,Awareness,87150,1801,2.07,1427.86,75,4.16,62.45,139,30,8.76,7035.89
C00142,18-04-2024,Display,South,CTV,Millennials,Leads,179267,2277,1.27,2133.68,2,0.09,44.99,108,38,7.84,297.27
C00143,16-06-2025,Affiliate,Central,Tablet,Boomers,App Installs,102842,2216,2.15,2397.4,23,1.04,56.38,213,34,9.94,2468.86
C00144,10-10-2024,Email,East,CTV,Gen X,Leads,68191,2876,4.22,1629.06,166,5.77,53.14,138,22,9.95,14384.05
C00145,11-09-2025,Affiliate,West,Tablet,Gen X,Leads,88663,536,0.6,410.43,19,3.54,19.96,348,44,8.58,1704.57
C00146,17-11-2025,Social,North,Desktop,Gen X,Awareness,109123,3619,3.32,4965.22,259,7.16,54.88,277,36,6.64,28509.29
C00147,15-11-2024,Affiliate,Central,Desktop,Millennials,Traffic,54129,826,1.53,1022.22,48,5.81,42.38,185,25,8.2,5341.82
C00148,06-11-2025,Affiliate,West,Tablet,Gen X,Awareness,73899,1611,2.18,1453.28,47,2.92,63.77,263,40,8.01,4691.85
C00149,18-10-2025,Social,East,Desktop,Gen X,Traffic,100067,2034,2.03,2187.05,42,2.06,65.09,122,47,6.77,4222.26
C00150,18-07-2025,Display,North,Desktop,Gen X,Awareness,186884,2393,1.28,1249.33,68,2.84,58.09,238,39,6.72,9514.14
C00151,14-01-2024,Search,Central,Tablet,Millennials,Sales,124570,,3.75,6253.85,244,5.22,35.15,140,19,5.55,26187.8
C00152,28-08-2024,Search,North,Tablet,Boomers,Sales,114345,5309,4.64,6669.53,519,9.78,40.34,203,32,6.27,57246.68
C00153,20-05-2024,Video,East,Desktop,Gen Z,Leads,146491,4350,2.97,8202.27,283,6.51,45.78,123,18,6.75,25268.9
C00154,27-03-2025,Video,North,Mobile,Boomers,Sales,152507,5427,3.56,7743.89,300,5.53,50.13,5,30,7.03,14626.05
C00155,14-08-2024,Search,Central,Mobile,Millennials,Traffic,126305,5566,4.41,10294.26,527,9.47,67.59,155,29,8.01,30207.15
C00156,28-12-2025,Email,East,Mobile,Millennials,Awareness,62489,2078,3.33,569.65,259,12.46,74.2,177,41,6.05,23849
C00157,01-02-2025,Email,West,Desktop,Boomers,Sales,12501,545,4.36,209.4,20,3.67,82.27,172,32,8.58,1374.5
C00158,28-11-2025,Video,East,CTV,Gen X,App Installs,210424,7265,3.45,7516.15,277,3.81,41.12,234,47,5.76,27530.91
C00159,12-01-2024,Email,North,Mobile,Millennials,Traffic,60915,2429,3.99,689.03,102,4.2,50.45,61,35,6.74,12913.01
C00160,22-05-2024,Display,North,Desktop,Millennials,Traffic,238812,3057,1.28,1642.84,90,2.94,64.97,214,36,7.09,8326.85
C00161,18-02-2024,Email,North,Desktop,Gen Z,Sales,67496,2534,3.75,,279,11.01,28.44,159,32,6.85,20232.17
C00162,26-07-2025,Video,Central,CTV,Gen X,Awareness,229459,6685,2.91,14948.03,183,2.74,54.73,217,26,6.93,11838.84
C00163,26-11-2024,Social,East,Tablet,Boomers,Awareness,108164,2174,2.01,2366.56,63,2.9,54.44,162,38,7.82,4447.7
C00164,25-03-2025,Affiliate,South,Tablet,Millennials,Sales,87601,1602,1.83,1933.96,39,2.43,48.69,178,39,8.58,3930.81
C00165,26-05-2025,Search,Central,Desktop,Millennials,Leads,135830,6808,5.01,9194.57,220,3.23,95,72,46,10,16983.8
C00166,18-12-2025,Social,North,Mobile,Millennials,Leads,127383,1345,1.06,1562.93,86,6.39,39.03,138,27,4.81,8877.98
C00167,22-10-2025,Email,Central,Tablet,Boomers,Awareness,61878,1668,2.7,871.94,72,4.32,30.23,159,48,5.12,7040.6
C00168,08-05-2025,Video,East,CTV,Gen X,App Installs,200501,6560,3.27,9552.58,561,8.55,63.11,102,30,7.63,49536.08
C00169,04-09-2024,Email,West,CTV,Gen Z,App Installs,56768,2679,4.72,1897.08,71,2.65,39,198,37,8.49,6078.61
C00170,23-02-2025,Search,West,Tablet,Gen X,Awareness,146657,8068,5.5,11414.42,146,1.81,58.93,207,25,6.62,10655.8
C00171,22-10-2025,Search,South,Mobile,Gen X,App Installs,104045,6579,6.32,7604.33,318,4.83,59.13,151,30,5.61,30091.84
C00172,09-07-2024,Search,South,CTV,Boomers,Leads,72270,3700,5.12,8904.1,279,7.54,65.86,134,36,8.01,20138.69
C00173,20-05-2024,Social,Central,CTV,Boomers,Awareness,75495,1802,2.39,2691.7,86,4.77,15.47,168,39,6.4,8100.52
C00174,04-11-2025,Video,East,CTV,Gen X,Leads,131695,3443,2.61,5959.1,215,6.24,42.1,201,45,7.63,20761.79
C00175,27-04-2025,Affiliate,North,Desktop,Gen X,Sales,95978,2226,2.32,2650.1,79,3.55,58.39,149,35,4.98,7944.37
C00176,12-01-2024,Affiliate,West,Tablet,Boomers,App Installs,63935,883,1.38,332.85,27,3.06,49.73,117,30,8.4,3321.78
C00177,15-07-2024,Search,West,Mobile,Gen X,Leads,128987,7002,5.43,14462.53,584,8.34,,143,35,7.58,49804.1
C00178,12-04-2025,Display,North,CTV,Gen Z,App Installs,106152,698,0.66,380.63,0,0,36.94,172,36,7.1,53.05
C00179,30-10-2025,Video,West,Mobile,Millennials,App Installs,171745,3856,2.25,9500.54,118,3.06,27.17,288,49,8.28,14738.16
C00180,14-09-2024,Display,Central,CTV,Boomers,Awareness,171403,1583,0.92,1560.14,103,6.51,48.16,140,35,4.56,8621.59
C00181,24-08-2024,Social,East,Desktop,Gen X,Sales,115347,3171,2.75,5319.69,137,4.32,55.91,177,46,2.77,14229.49
C00182,30-07-2024,Affiliate,West,Mobile,Gen Z,App Installs,105265,1278,1.21,210.73,0,0,71.12,206,38,6.5,0
C00183,14-11-2024,Social,South,Tablet,Gen Z,App Installs,104549,3799,3.63,4499.33,163,4.29,54.31,205,21,4.42,15258.94
C00184,10-10-2025,Video,North,Desktop,Gen Z,Sales,244969,7991,3.26,13686.34,500,6.26,44.81,160,31,2.95,48722.66
C00185,23-07-2024,Search,South,CTV,Gen X,App Installs,82008,4161,5.07,6802.23,113,2.72,47.82,143,34,8.19,10736.83
C00186,09-03-2024,Affiliate,East,CTV,Boomers,Sales,138609,706,0.51,491.48,,5.52,61.1,76,42,9.17,2206.68
C00187,31-07-2024,Social,West,Desktop,Boomers,Traffic,122728,4263,3.47,4251.11,0,0,17.18,96,29,5.85,0
C00188,03-09-2024,Email,Central,Desktop,Gen Z,Leads,62017,3264,5.26,1548.18,193,5.91,29.09,74,30,7.9,15522.25
C00189,26-05-2024,Video,East,Tablet,Gen Z,Leads,164453,4779,2.91,10410.31,277,5.8,74.35,128,44,6.07,16863.06
C00190,02-04-2024,Affiliate,East,CTV,Millennials,Sales,63638,1064,1.67,933.16,17,1.6,61.77,211,46,6.65,1026.67
C00191,11-07-2024,Email,West,Tablet,Gen X,App Installs,46230,2727,5.9,678.32,305,11.18,57.42,180,33,3.87,24428.45
C00192,04-12-2024,Email,West,CTV,Gen X,Traffic,53488,2775,5.19,734.3,118,4.25,50.69,199,46,7.7,11104.24
C00193,22-03-2024,Affiliate,South,CTV,Millennials,Sales,77210,336,0.44,229.13,9,2.68,42.93,27,44,8.35,1247.3
C00194,14-07-2025,Search,East,CTV,Boomers,Sales,166154,6144,3.7,7949.88,118,1.92,56.57,227,23,8.16,8119.03
C00195,01-04-2024,Affiliate,South,CTV,Gen Z,Traffic,86935,2001,2.3,2188.06,106,5.3,79.97,226,35,6.86,5488.28
C00196,03-06-2025,Email,Central,Tablet,Gen Z,Sales,37403,1484,3.97,713.4,150,10.11,76.14,97,42,7.36,5309.47
C00197,13-11-2024,Search,Central,CTV,Gen Z,Traffic,151363,5780,3.82,10383.27,294,5.09,60.96,103,28,7.69,15195.99
C00198,25-07-2024,Video,South,Mobile,Boomers,Leads,232068,7694,3.32,15700.61,279,3.63,59.37,127,22,7.1,15447.88
C00199,25-02-2024,Display,Central,CTV,Gen Z,Leads,122751,1106,0.9,764.94,51,4.61,88.74,89,34,5.39,2767.54
C00200,22-05-2025,Affiliate,Central,CTV,Gen X,Sales,58766,1427,2.43,1691.85,128,8.97,56.96,258,43,9.63,16392.43
C00201,26-10-2025,Email,North,Mobile,Millennials,Leads,34812,1420,4.08,718.78,28,1.97,81.31,129,38,5.41,4005.94
